ID,Username,Alias,Email,"Is Email
Hidden",Password,Phone,Website,Contacts,Birthdate,Title,Avatar,City,Biography,First Useragent,First IP,Is Banned,"Is Communication
Banned",Roles,Sorting,Created At,Edited At,Deleted At,Is Deleted,"Is Allowed Adv
Notifications"
1,Albus Dumbledore,dumbledore,dumbledore@hogwarts.uk,FALSE,123456,+10001234567,https://harrypotter.fandom.com,"[{""contact"": ""facebook"", ""value"": ""100017878185214""}, {""contact"": ""instagram"", ""value"": ""albus_dumbledore_officiel""}, {""contact"": ""skype"", ""value"": ""albusdumbledore""}]",NULL,Hogwarts Headmaster,1-dumbledore.jpg,Hogwarts,"[{""type"":""paragraph"", ""data"": {""text"": ""Professor Albus Percival Wulfric Brian Dumbledore, was an English half-blood wizard. He was the Defence Against the Dark Arts Professor, later the Transfiguration Professor, and later the Headmaster of Hogwarts School of Witchcraft and Wizardry. He also served as Supreme Mugwump of the International Confederation of Wizards and Chief Warlock of the Wizengamot. A Muggle-supporting wizard, though the complete opposite in his earlier years, he was considered to have been the greatest wizard of modern times, perhaps of all time.""}}, {""type"":""paragraph"", ""data"": {""text"": ""He was the son of Percival and Kendra Dumbledore, and the elder brother of Aberforth and Ariana. His father died in Azkaban when Albus was young, while his mother and sister were later accidentally killed. His early losses greatly affected him early on, even at his death many years later, but, in turn, made him a better person.""}}]","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.135 YaBrowser/21.6.2.854 Yowser/2.5 Safari/537.36",127.0.0.1,FALSE,FALSE,"ROLE_USER,ROLE_ADMIN,ROLE_TECH",100,-1 year 3255 hours 16 minutes 24 seconds,-55 minutes 30 seconds,NULL,FALSE,TRUE
2,Argus Filch,filch,filch@hogwarts.uk,FALSE,123456,+10007654321,,[],NULL,Manager,2-filch.jpg,Hogwarts,"[{""type"":""paragraph"", ""data"": {""text"": ""Argus Filch was a Squib and the caretaker of Hogwarts School of Witchcraft and Wizardry since around 1973. Filch usually wandered around the school corridors with his cat Mrs Norris, trying to catch students breaking the school rules and complaining about Peeves the Poltergeist.""}}]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36 Edg/92.0.902.55",127.0.0.2,FALSE,FALSE,"ROLE_USER,ROLE_USERS_MANAGER,ROLE_BLOG_MANAGER",9,-1 year 3150 hours 12 minutes 40 seconds,NULL,NULL,FALSE,TRUE
3,Rita Skeeter,skeeter,skeeter@hogwarts.uk,FALSE,123456,,,[],NULL,"Journalist, blogger",3-skeeter.jpg,London,"[{""type"":""paragraph"", ""data"": {""text"": ""Rita Skeeter was a British witch and journalist who specialised in writing poison-pen stories. These stories tended to be based on false information and misreported interviews.""}}, {""type"":""paragraph"", ""data"": {""text"": ""Rita's writing tended to be sensationalist and sometimes outright dishonest, paralleling her beliefs about writing what people like to read.""}}]","Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",127.0.0.3,FALSE,FALSE,"ROLE_USER,ROLE_BLOG_AUTHOR",8,-1 year 3066 hours 40 minutes 21 seconds,-66 minutes 57 seconds,NULL,FALSE,TRUE
4,Severus Snape,snape,snape@hogwarts.uk,FALSE,123456,,,"[{""contact"": ""facebook"", ""value"": ""100008277555058""}, {""contact"": ""skype"", ""value"": ""severussnape""}]",1960-01-09,Half-Blood Prince,4-snape.jpg,Spinner's End,"[{""type"":""paragraph"", ""data"": {""text"": ""С 1981 года Северус Снегг работает в Хогвартсе. Вероятно, он взял должность профессора Слизнорта. Во всяком случае во время учёбы Гарри Поттера в Хогвартсе (1991—1996) Северус Снегг был деканом Слизерина и профессором зельеварения, а с сентября 1996 преподавал Защиту от Тёмных искусств, продолжая оставаться деканом. Он не скрывал своей нелюбви к студентам других факультетов, особенно к гриффиндорцам, и пользовался любым удобным случаем, чтобы снять с них баллы или назначить дисциплинарное взыскание.""}}]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36 Edg/91.0.864.71",127.0.0.4,FALSE,FALSE,ROLE_USER,8,-1 year 2982 hours 10 minutes 44 seconds,-82 minutes 56 seconds,NULL,FALSE,TRUE
5,Alastor Moody,moody,moody@hogwarts.uk,FALSE,123456,,,[],NULL,Auror,5-moody.jpg,Scotland,"[{""type"":""paragraph"", ""data"": {""text"": ""Alastor Moody was a pure-blood wizard, considered to be the most famous Auror of all time. He was a pivotal member of the Order of the Phoenix during the First and Second Wizarding Wars.""}}, {""type"":""paragraph"", ""data"": {""text"": ""As an Auror, he played a role in the imprisonment of many of the inhabitants of Azkaban.""}}]","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",127.0.0.5,FALSE,FALSE,ROLE_USER,1,-1 year 2877 hours 3 minutes 50 seconds,-77 minutes 46 seconds,NULL,FALSE,TRUE
6,Dolores Umbridge,umbridge,umbridge@hogwarts.uk,TRUE,123456,,,[],1965-08-22,Senior Undersecretary to the Minister for Magic,6-umbridge.jpg,,"[{""type"":""paragraph"", ""data"": {""text"": ""Madam Dolores Jane Umbridge was a half-blood witch and a British Ministry of Magic bureaucrat who served as Senior Undersecretary to the Minister for Magic under Ministers Cornelius Fudge, Rufus Scrimgeour, and Pius Thicknesse.""}}]","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",127.0.0.6,FALSE,FALSE,ROLE_USER,1,-1 year 2814 hours 18 minutes 4 seconds,-14 minutes 8 seconds,NULL,FALSE,TRUE
7,Horace Slughorn,slughorn,slughorn@hogwarts.uk,FALSE,123456,,,[],NULL,Potion Master,7-slughorn.jpg,,"[{""type"":""paragraph"", ""data"": {""text"": ""Professor Horace Eugene Flaccus Slughorn was a pure-blood or half-blood wizard. He attended Hogwarts School of Witchcraft and Wizardry as a member of Slytherin before returning in 1931 as Potions Master. He also served as Head of Slytherin House, before retiring in 1981 due to a fear that Albus Dumbledore would discover that he had told Tom Riddle about Horcruxes, though Dumbledore himself did not feel that Slughorn had done anything wrong.""}}]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",127.0.0.7,FALSE,FALSE,ROLE_USER,1,-1 year 2772 hours 57 minutes 1 seconds,-72 minutes 55 seconds,NULL,FALSE,TRUE
8,Rubeus Hagrid,hagrid,hagrid@hogwarts.uk,FALSE,123456,,,[],1928-12-06,Forester,8-hagrid.jpg,,"[{""type"":""paragraph"", ""data"": {""text"": ""Professor Rubeus Hagrid was an English half-giant wizard, son of Mr Hagrid and the giantess Fridwulfa, and elder half-brother of the giant Grawp. Hagrid stood at eleven feet, six inches tall.""}}, {""type"":""paragraph"", ""data"": {""text"": ""Hagrid attended Hogwarts School of Witchcraft and Wizardry in 1940 and was sorted into Gryffindor house. In Hagrid's third year, he was framed by Tom Riddle for the crime of opening the Chamber of Secrets and using his pet Acromantula to attack several Muggle-born students and eventually killing one of them. Though Hagrid's wand was snapped and he was expelled, he was trained as gamekeeper of Hogwarts and allowed to live on the school grounds at the request of Albus Dumbledore.""}}, {""type"":""paragraph"", ""data"": {""text"": ""In 1991, Hagrid was given the task of reintroducing Harry Potter to the wizarding world. In 1993, Hagrid would assume the post of Care of Magical Creatures professor after the retirement of Professor Silvanus Kettleburn. As a member of both the original and the re-instated Order of the Phoenix, Hagrid fought in several battles of the First and the Second Wizarding Wars, including the Battle of Hogwarts in 1998.""}}]","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",127.0.0.8,FALSE,FALSE,ROLE_USER,1,-1 year 2709 hours 35 minutes 28 seconds,-09 minutes 30 seconds,NULL,FALSE,TRUE
9,Pomona Sprout,sprout,sprout@hogwarts.uk,FALSE,123456,,,[],1932-05-15,,9-sprout.jpg,,"[{""type"":""paragraph"", ""data"": {""text"": ""Professor Pomona Sprout was a witch who worked as Head of Hufflepuff House and Head of the Herbology department at Hogwarts School of Witchcraft and Wizardry. She attended the school in her youth, where she was Sorted into Hufflepuff and excelled at Herbology. Some time after her graduation, Sprout returned to Hogwarts to teach.""}}]","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 YaBrowser/21.6.1.271 Yowser/2.5 Safari/537.36",127.0.0.9,FALSE,FALSE,ROLE_USER,1,-1 year 2625 hours 48 minutes 25 seconds,-25 minutes 18 seconds,NULL,FALSE,TRUE
10,Tom Riddle,riddle,riddle@hogwarts.uk,TRUE,123456,,,[],NULL,,10-riddle.jpg,,"[{""type"":""paragraph"", ""data"": {""text"": ""Tom Marvolo Riddle, later known as Lord Voldemort or, alternatively as You-Know-Who, the Dark Lord, or He-Who-Must-Not-Be-Named was an English half-blood wizard considered to have been the most powerful and dangerous Dark Wizard of all time.""}}, {""type"":""paragraph"", ""data"": {""text"": ""He was amongst the greatest wizards to have ever lived, often considered more powerful or equal to Albus Dumbledore.""}}]",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,127.0.0.10,TRUE,FALSE,ROLE_USER,1,-1 year 2541 hours 20 minutes 7 seconds,-41 minutes 38 seconds,NULL,FALSE,FALSE
